keyword,matchType,campaignId,campaignName,impressions,clicks,cost,purchases,sales,acos_pct,dataWindow
hindu books,BROAD,488619109239365,TMHD Board Book - Manual targeting,1226,60,19.65,6,91.14,21.6,Oct2025-Feb2026
hindu god,BROAD,488619109239365,TMHD Board Book - Manual targeting,657,27,10.50,4,60.76,17.3,Oct2025-Feb2026
indian god,PHRASE,488619109239365,TMHD Board Book - Manual targeting,251,18,8.69,2,18.96,45.8,Oct2025-Feb2026
indian mythology book,BROAD,488619109239365,TMHD Board Book - Manual targeting,234,14,5.72,1,15.99,35.8,Oct2025-Feb2026
indian mythology books kids,EXACT,488619109239365,TMHD Board Book - Manual targeting,365,10,5.50,0,0.00,,Oct2025-Feb2026
hindi books kids,PHRASE,488619109239365,TMHD Board Book - Manual targeting,775,6,4.06,1,14.39,28.2,Oct2025-Feb2026
indian children book,BROAD,488619109239365,TMHD Board Book - Manual targeting,123,6,2.67,0,0.00,,Oct2025-Feb2026
close-match,TARGETING_EXPRESSION_PREDEFINED,68915320099789,My Little Shloka and Mantra Book,434,9,2.25,1,24.50,9.2,Oct2025-Feb2026
complements,TARGETING_EXPRESSION_PREDEFINED,98223164798717,MLSAMB Shloka - Auto,2818,10,2.15,0,0.00,,Oct2025-Feb2026
indian mythology,BROAD,488619109239365,TMHD Board Book - Manual targeting,168,4,2.09,0,0.00,,Oct2025-Feb2026
mythology kids,PHRASE,488619109239365,TMHD Board Book - Manual targeting,179,5,1.85,0,0.00,,Oct2025-Feb2026
hindu children's books,BROAD,488619109239365,TMHD Board Book - Manual targeting,51,5,1.33,0,0.00,,Oct2025-Feb2026
hindu stories,BROAD,488619109239365,TMHD Board Book - Manual targeting,55,4,1.30,0,0.00,,Oct2025-Feb2026
hindu books,BROAD,277349431885953,TMHD Board Book - Manual,81,4,1.26,0,0.00,,Oct2025-Feb2026
hindu mythology kids,BROAD,277349431885953,TMHD Board Book - Manual,45,3,1.19,0,0.00,,Oct2025-Feb2026
hindu god goddess book,BROAD,488619109239365,TMHD Board Book - Manual targeting,137,3,1.16,1,15.99,7.3,Oct2025-Feb2026
loose-match,TARGETING_EXPRESSION_PREDEFINED,68915320099789,My Little Shloka and Mantra Book,168,4,1.04,2,31.98,3.3,Oct2025-Feb2026
book about hinduism,BROAD,488619109239365,TMHD Board Book - Manual targeting,18,3,1.00,0,0.00,,Oct2025-Feb2026
goddess book,BROAD,488619109239365,TMHD Board Book - Manual targeting,434,2,0.87,0,0.00,,Oct2025-Feb2026
